"gene","outcome_role","n_iv","Egger_intercept","Egger_intercept_se","Egger_intercept_p","Cochran_Q","Cochran_Q_p","Steiger_correct","Steiger_p"
"TSHR","Primary",1,NA,NA,NA,NA,NA,NA,NA
"TSHR","Replication",1,NA,NA,NA,NA,NA,NA,NA
"IGF1R","Primary",10,-0.0156139354185549,0.0283862826520986,0.597301562881519,6.87854775567204,0.649762747788403,NA,NA
"IGF1R","Replication",10,-3.4054709519087e-05,0.000194629225270608,0.86544874843387,15.9067302594233,0.0688550354330938,NA,NA
"TNF","Primary",2,NA,NA,NA,NA,NA,NA,NA
"TNF","Replication",3,0.000170645913710109,0.000839210973729283,0.872290324631057,4.75001490261809,0.0930137961335409,NA,NA
"PPARG","Primary",3,0.0171972899703397,0.0487008884975245,0.783898011831746,2.53412872344174,0.281657253121811,NA,NA
"PPARG","Replication",3,5.69699884174542e-05,0.000184886360201277,0.809712163924379,0.0951957494989471,0.953517143313864,NA,NA
"ARRB1","Primary",5,0.0282739881193686,0.0305645491554405,0.423165178564804,3.9299134606995,0.415574120677526,NA,NA
"ARRB1","Replication",6,2.1308462231553e-06,0.000264224033427481,0.993951674291981,10.6181225677009,0.0594998202864254,NA,NA
"IRS1","Primary",2,NA,NA,NA,NA,NA,NA,NA
"IRS1","Replication",3,-0.000197218767061936,0.000251775234522345,0.576977186491722,0.721560069731234,0.697132326408715,NA,NA
"AKT1","Primary",2,NA,NA,NA,NA,NA,NA,NA
"AKT1","Replication",3,-0.000336764080312622,0.00072068599856928,0.721712561885588,3.65989608445651,0.160421902723243,NA,NA
"CTLA4","Primary",5,0.0895783298320674,0.101276480440834,0.441570492984172,41.194358782032,2.44994132514736e-08,NA,NA
"CTLA4","Replication",7,0.00241128521940188,0.001176279357744,0.0956519080722206,378.430406063137,1.2087984342464e-78,NA,NA
