"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","outcome_name","outcome_role"
"eqtl-a-ENSG00000140443","ieu-b-113","Fasting glucose || id:ieu-b-113","IGF1R_expression","Inverse variance weighted",8,0.00833672204931379,0.0133817899671035,0.53329105803109,"Fasting_Glucose","secondary_offtarget"
"eqtl-a-ENSG00000140443","ieu-b-113","Fasting glucose || id:ieu-b-113","IGF1R_expression","MR Egger",8,0.0327306095725412,0.0251778918932845,0.241313464328379,"Fasting_Glucose","secondary_offtarget"
"eqtl-a-ENSG00000140443","ieu-b-113","Fasting glucose || id:ieu-b-113","IGF1R_expression","Weighted median",8,0.0140316708637718,0.0115948308417134,0.226215175131852,"Fasting_Glucose","secondary_offtarget"
"eqtl-a-ENSG00000140443","ieu-b-113","Fasting glucose || id:ieu-b-113","IGF1R_expression","Weighted mode",8,0.0169117964136501,0.0614608416837863,0.791135379969741,"Fasting_Glucose","secondary_offtarget"
"eqtl-a-ENSG00000140443","ieu-b-103","HbA1C || id:ieu-b-103","IGF1R_expression","Inverse variance weighted",8,0.00859652708968551,0.0130308477134694,0.509442581170634,"HbA1c","secondary_offtarget"
"eqtl-a-ENSG00000140443","ieu-b-103","HbA1C || id:ieu-b-103","IGF1R_expression","MR Egger",8,0.0191038686749524,0.0265893846041758,0.499472793933732,"HbA1c","secondary_offtarget"
"eqtl-a-ENSG00000140443","ieu-b-103","HbA1C || id:ieu-b-103","IGF1R_expression","Weighted median",8,0.015027640713178,0.0137215182111323,0.273434325652961,"HbA1c","secondary_offtarget"
"eqtl-a-ENSG00000140443","ieu-b-103","HbA1C || id:ieu-b-103","IGF1R_expression","Weighted mode",8,0.0159658965367557,0.046796223241301,0.742980604312329,"HbA1c","secondary_offtarget"
"eqtl-a-ENSG00000140443","ebi-a-GCST006867","Type 2 diabetes || id:ebi-a-GCST006867","IGF1R_expression","Inverse variance weighted",7,0.0124786020684695,0.0325799008937584,0.70170838443402,"Type2_Diabetes","secondary_offtarget"
"eqtl-a-ENSG00000140443","ebi-a-GCST006867","Type 2 diabetes || id:ebi-a-GCST006867","IGF1R_expression","MR Egger",7,0.0307258337752796,0.0659747475326762,0.660997211012186,"Type2_Diabetes","secondary_offtarget"
"eqtl-a-ENSG00000140443","ebi-a-GCST006867","Type 2 diabetes || id:ebi-a-GCST006867","IGF1R_expression","Weighted median",7,-0.00690252713865468,0.0307179109879922,0.822207281610562,"Type2_Diabetes","secondary_offtarget"
"eqtl-a-ENSG00000140443","ebi-a-GCST006867","Type 2 diabetes || id:ebi-a-GCST006867","IGF1R_expression","Weighted mode",7,-0.0122443513959638,0.124192937196476,0.924674033453689,"Type2_Diabetes","secondary_offtarget"
"eqtl-a-ENSG00000140443","ieu-a-89","Height || id:ieu-a-89","IGF1R_expression","Inverse variance weighted",8,-0.0547370394502519,0.0370952227489597,0.140056165732865,"Height","negative_control"
"eqtl-a-ENSG00000140443","ieu-a-89","Height || id:ieu-a-89","IGF1R_expression","MR Egger",8,-0.117879214698378,0.0709340338391676,0.147613432696787,"Height","negative_control"
"eqtl-a-ENSG00000140443","ieu-a-89","Height || id:ieu-a-89","IGF1R_expression","Weighted median",8,-0.0288388213980146,0.0122677113136919,0.0187335691112394,"Height","negative_control"
"eqtl-a-ENSG00000140443","ieu-a-89","Height || id:ieu-a-89","IGF1R_expression","Weighted mode",8,-0.0270205810944418,0.0834633052781087,0.755591181474472,"Height","negative_control"
"eqtl-a-ENSG00000140443","ukb-b-19560","Skin colour || id:ukb-b-19560","IGF1R_expression","Inverse variance weighted",10,0.00712834720159701,0.0041320592752143,0.0845037077526841,"Skin_Color","negative_control"
"eqtl-a-ENSG00000140443","ukb-b-19560","Skin colour || id:ukb-b-19560","IGF1R_expression","MR Egger",10,0.0186224332673826,0.00698795817770044,0.0285859983403166,"Skin_Color","negative_control"
"eqtl-a-ENSG00000140443","ukb-b-19560","Skin colour || id:ukb-b-19560","IGF1R_expression","Weighted median",10,0.013225971600176,0.00444005636443065,0.0028939412117384,"Skin_Color","negative_control"
"eqtl-a-ENSG00000140443","ukb-b-19560","Skin colour || id:ukb-b-19560","IGF1R_expression","Weighted mode",10,0.0135143946696348,0.0206818151954046,0.529808844675899,"Skin_Color","negative_control"
