"gene","group","baseMean","log2FoldChange","lfcSE","pvalue","padj_candidate"
"TSHR","MR_Primary",414.911314899804,1.8364126465047,0.851403913850284,0.000312709417344632,0.00625418834689263
"FOXO1","Insulin_Cassette",10042.4354550862,0.0222058327470571,0.0786349292475412,0.0676095804000502,0.579175447954169
"ARRB1","MR_Secondary",10162.5097221681,-0.0284068604536427,0.0806877202715176,0.10721486193524,0.579175447954169
"CTLA4","MR_Secondary",75.0953325506746,0.00871666155490197,0.0755777417649252,0.115835089590834,0.579175447954169
"HAS3","TED_Biology",97.402786469826,0.0118322136371695,0.075946904695889,0.157093780370693,0.628375121482773
"HAS1","TED_Biology",230.433285523435,0.00088394131949288,0.0750175269271632,0.20798468561699,0.693282285389966
"PPARG","MR_Secondary",26172.0088796426,-0.0182022489331174,0.0764133978060919,0.257410465812713,0.709829013130104
"IRS2","Insulin_Cassette",10908.6666471425,0.0132190406681315,0.0749862145672454,0.383056828234766,0.709829013130104
"IGF1R","MR_Primary",9585.29192288419,0.00769861180089238,0.0749436778616271,0.428953400545,0.709829013130104
"ADIPOQ","TED_Biology",181218.869655996,-0.0154251877158471,0.0756120449464779,0.44348911917841,0.709829013130104
"HAS2","TED_Biology",5225.22491031791,0.00724203908592095,0.0748121167749663,0.487968890411603,0.709829013130104
"IGF1","MR_Primary",17095.691305653,-0.0169948303313259,0.0763219558723133,0.491719658661236,0.709829013130104
"INSR","Insulin_Cassette",13015.2217474636,0.0131223552355544,0.0740561896058092,0.494464277093438,0.709829013130104
"CEBPA","TED_Biology",22214.6627710878,0.00152581106248176,0.0720564648858557,0.496880309191073,0.709829013130104
"IRS1","MR_Secondary",2610.681350623,0.00480236189160657,0.0745377475180036,0.643673886393017,0.844135442773936
"AKT1","MR_Secondary",10274.2988566745,-0.00865795643502326,0.0724569257826931,0.675308354219149,0.844135442773936
"PIK3R1","Insulin_Cassette",60935.9596343674,0.00400769483127521,0.0737923737655705,0.783146385372099,0.921348688673057
"FABP4","TED_Biology",225518.879392396,0.00133958058134691,0.0742154811206556,0.914326770154692,0.960506055968799
"PDPK1","Insulin_Cassette",5254.41529981214,0.00168228442792864,0.0714141117808385,0.941974351234442,0.960506055968799
"TNF","MR_Secondary",39.6030380161207,0.000281778341128714,0.0748655566570656,0.960506055968799,0.960506055968799
