"Gene","GWAS","b","p","nsnp"
"PPARG","Primary(Graves)",-0.0794106608977841,0.405614317313759,4
"PPARG","Replication(Hyper)",-1.75494520106687e-05,0.969794378305625,4
"ARRB1","Primary(Graves)",-0.140220039223886,0.238851310213694,6
"ARRB1","Replication(Hyper)",-0.000669570726402655,0.1295384733197,9
"IRS1","Primary(Graves)",-0.137714170897032,0.120676401663799,3
"IRS1","Replication(Hyper)",4.00511657232397e-06,0.993486454389696,4
"AKT1","Primary(Graves)",0.0930681849546734,0.431076393926278,3
"AKT1","Replication(Hyper)",-0.000240056422513782,0.599196952794458,7
"TNF","Primary(Graves)",0.881299302129396,0.428703727554984,4
"TNF","Replication(Hyper)",-0.00397728678525684,3.56936977175418e-05,5
"CTLA4","Primary(Graves)",-0.654797635770607,0.0701875478673649,9
"CTLA4","Replication(Hyper)",-0.000336290348073034,0.930950230799471,11
