Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,Regulation of lipolysis in adipocytes,2.223553625089906e-05,752.6037735849056,8063.260471080951,"['FABP4', 'TSHR']",0.00022229789019651152,0,0
2,PPAR signaling pathway,4.041779821754755e-05,553.4722222222222,5599.058010484021,"['FABP4', 'ADIPOQ']",0.00022229789019651152,0,0
3,Type II diabetes mellitus,0.0068844034482568265,221.6888888888889,1103.6774229731402,['ADIPOQ'],0.02054857561475248,0,0
4,Autoimmune thyroid disease,0.007929257057990018,191.77884615384616,927.6718550806611,['TSHR'],0.02054857561475248,0,0
5,Adipocytokine signaling pathway,0.010314743063972204,146.53676470588235,670.2856910354703,['ADIPOQ'],0.02054857561475248,0,0
6,Thyroid hormone synthesis,0.011208313971683172,134.61486486486487,604.5687465206931,['TSHR'],0.02054857561475248,0,0
7,Longevity regulating pathway,0.015222729833167328,98.4950495049505,412.1983924062594,['ADIPOQ'],0.02392143259497723,0,0
8,AMPK signaling pathway,0.0178929633377612,83.52100840336135,336.03406149176243,['ADIPOQ'],0.02460282458942165,0,0
9,Non-alcoholic fatty liver disease,0.02307126054382791,64.42532467532467,242.82984434544923,['ADIPOQ'],0.028198207331345225,0,0
10,cAMP signaling pathway,0.03205273440608554,46.0046511627907,158.27314972299234,['TSHR'],0.0352580078466941,0,0
11,Neuroactive ligand-receptor interaction,0.050285086379747664,28.90735294117647,86.43433640308764,['TSHR'],0.050285086379747664,0,0
