Gene,Tissue
PTPN1,Pancreas
BAD,Pancreas
RPS6,Pancreas
TSC2,Pancreas
TSC1,Pancreas
PRKAB1,Pancreas
PRKAB2,Pancreas
PPP1CA,Pancreas
GCK,Pancreas
PPP1CB,Pancreas
MAPK10,Pancreas
PPP1R3D,Pancreas
PPP1R3C,Pancreas
PPP1R3F,Pancreas
PPP1R3E,Pancreas
CALM2,Pancreas
CALM3,Pancreas
CALM1,Pancreas
RAF1,Pancreas
PRKAA2,Pancreas
CALML6,Pancreas
CALML3,Pancreas
CALML4,Pancreas
PPP1R3B,Pancreas
ARAF,Pancreas
CALML5,Pancreas
CBLB,Pancreas
INPPL1,Pancreas
PPP1R3A,Pancreas
PRKAA1,Pancreas
FOXO1,Pancreas
CRKL,Pancreas
PPP1CC,Pancreas
NRAS,Pancreas
AKT3,Pancreas
AKT1,Pancreas
AKT2,Pancreas
PPARGC1A,Pancreas
SH2B2,Pancreas
SREBF1,Pancreas
INSR,Pancreas
MAP2K2,Pancreas
PRKCI,Pancreas
MAP2K1,Pancreas
PHKA2,Pancreas
PHKA1,Pancreas
PHKB,Pancreas
EIF4E1B,Pancreas
PRKCZ,Pancreas
PIK3R1,Pancreas
RHEB,Pancreas
FASN,Pancreas
PRKAR1B,Pancreas
PRKAR1A,Pancreas
GRB2,Pancreas
IRS1,Pancreas
IRS2,Pancreas
EIF4EBP1,Pancreas
SLC2A4,Pancreas
IRS4,Pancreas
ELK1,Pancreas
PRKACG,Pancreas
INPP5A,Pancreas
LIPE,Pancreas
PRKAR2B,Pancreas
PRKAR2A,Pancreas
FLOT2,Pancreas
FLOT1,Pancreas
PRKACB,Pancreas
PRKACA,Pancreas
BRAF,Pancreas
G6PC1,Pancreas
G6PC2,Pancreas
PTPRF,Pancreas
RHOQ,Pancreas
G6PC3,Pancreas
PIK3CB,Pancreas
PIK3CA,Pancreas
PDE3B,Pancreas
EXOC7,Pancreas
RAPGEF1,Pancreas
FBP1,Pancreas
SOS2,Pancreas
EIF4E2,Pancreas
FBP2,Pancreas
SOS1,Pancreas
GSK3B,Pancreas
SHC3,Pancreas
SHC4,Pancreas
SHC1,Pancreas
SHC2,Pancreas
PIK3R3,Pancreas
PIK3R2,Pancreas
HK1,Pancreas
ACACB,Pancreas
HK3,Pancreas
ACACA,Pancreas
HK2,Pancreas
SOCS3,Pancreas
SOCS4,Pancreas
SOCS1,Pancreas
SOCS2,Pancreas
MKNK1,Pancreas
MKNK2,Pancreas
EIF4E,Pancreas
PCK2,Pancreas
PCK1,Pancreas
PKLR,Pancreas
PDPK1,Pancreas
SORBS1,Pancreas
MTOR,Pancreas
RPS6KB2,Pancreas
RPS6KB1,Pancreas
HKDC1,Pancreas
CRK,Pancreas
KRAS,Pancreas
TRIP10,Pancreas
PYGB,Pancreas
PRKAG2,Pancreas
PYGL,Pancreas
PRKAG3,Pancreas
PIK3CD,Pancreas
PRKAG1,Pancreas
PYGM,Pancreas
INS,Pancreas
CBL,Pancreas
GYS1,Pancreas
GYS2,Pancreas
IKBKB,Pancreas
RPTOR,Pancreas
MAPK9,Pancreas
MAPK8,Pancreas
PHKG2,Pancreas
PHKG1,Pancreas
MAPK3,Pancreas
HRAS,Pancreas
MAPK1,Pancreas
